"X1","uniqueID","island","site","transect","topcolor","bowlcolor","insectorder","numinsects","date traps out","date traps coll","duration"
1,"guamanaol1","guam","anao","l1","b","y","diptera",0,2018-01-12,2018-01-15,3
3,"guamanaol1","guam","anao","l1","y","b","diptera",0,2018-01-12,2018-01-15,3
4,"guamanaol1","guam","anao","l1","y","r","diptera",0,2018-01-12,2018-01-15,3
5,"guamanaol1","guam","anao","l1","w","b","diptera",0,2018-01-12,2018-01-15,3
7,"guamanaol1","guam","anao","l1","w","y","diptera",0,2018-01-12,2018-01-15,3
9,"guamanaol1","guam","anao","l1","b","b","diptera",0,2018-01-12,2018-01-15,3
11,"guamanaol1","guam","anao","l1","b","w","diptera",0,2018-01-12,2018-01-15,3
12,"guamanaol1","guam","anao","l1","y","y","diptera",0,2018-01-12,2018-01-15,3
17,"guamanaol2","guam","anao","l2","b","y","diptera",0,2018-01-12,2018-01-15,3
18,"guamanaol2","guam","anao","l2","b","b","diptera",0,2018-01-12,2018-01-15,3
19,"guamanaol2","guam","anao","l2","r","b","diptera",0,2018-01-12,2018-01-15,3
20,"guamanaol2","guam","anao","l2","y","y","diptera",0,2018-01-12,2018-01-15,3
21,"guamanaol2","guam","anao","l2","b","r","diptera",0,2018-01-12,2018-01-15,3
22,"guamanaol2","guam","anao","l2","r","w","diptera",0,2018-01-12,2018-01-15,3
24,"guamanaol2","guam","anao","l2","b","w","diptera",0,2018-01-12,2018-01-15,3
25,"guamanaol2","guam","anao","l2","y","b","diptera",0,2018-01-12,2018-01-15,3
26,"guamanaol2","guam","anao","l2","y","w","diptera",0,2018-01-12,2018-01-15,3
28,"guamanaol2","guam","anao","l2","w","b","diptera",0,2018-01-12,2018-01-15,3
29,"guamanaol2","guam","anao","l2","r","y","diptera",0,2018-01-12,2018-01-15,3
30,"guamanaol2","guam","anao","l2","w","w","diptera",0,2018-01-12,2018-01-15,3
31,"guamanaol2","guam","anao","l2","r","r","diptera",0,2018-01-12,2018-01-15,3
32,"guamanaol2","guam","anao","l2","y","r","diptera",0,2018-01-12,2018-01-15,3
33,"guamanaol3","guam","anao","l3","y","y","diptera",0,2018-01-12,2018-01-15,3
36,"guamanaol3","guam","anao","l3","b","b","diptera",0,2018-01-12,2018-01-15,3
37,"guamanaol3","guam","anao","l3","r","r","diptera",0,2018-01-12,2018-01-15,3
38,"guamanaol3","guam","anao","l3","w","b","diptera",0,2018-01-12,2018-01-15,3
39,"guamanaol3","guam","anao","l3","y","r","diptera",0,2018-01-12,2018-01-15,3
40,"guamanaol3","guam","anao","l3","w","w","diptera",0,2018-01-12,2018-01-15,3
41,"guamanaol3","guam","anao","l3","w","y","diptera",0,2018-01-12,2018-01-15,3
43,"guamanaol3","guam","anao","l3","b","r","diptera",0,2018-01-12,2018-01-15,3
