"foodtype","years","foodhomeawayhome","lowus","upus","lowlincome","uplincome","lowhincome","uphincome","incomelevels","meanincome"
"fruit","94-98","fah",107.6,109.5,93.99,95.68,113.71,115.69,"meanus",108.55
"veg","94-98","fah",108.2811,111.4724,104.2362,107.1462,110.1047,113.4221,"meanus",109.8719
"dairy","94-98","fah",172.03,177.82,166.37,172.14,174.55,180.35,"meanus",174.92
"meat","94-98","fah",85.14,88.86,90.06,93.79,82.92,86.65,"meanus",87
"grain","94-98","fah",93.54,95.97,92.44,94.75,94.04,96.52,"meanus",94.76
"oil","94-98","fah",28.18,29.24,27.95,28.93,28.3,29.38,"meanus",28.71
"fruit","03-04","fah",107.92,110.68,109.73,112.56,106.81,109.54,"meanus",109.3
"veg","03-04","fah",103.6448,107.8098,101.8122,105.7322,104.7816,109.1034,"meanus",105.7224
"dairy","03-04","fah",174.79,178.11,172.69,175.97,176.1,179.45,"meanus",176.45
"meat","03-04","fah",86.59,90.18,87.73,91.12,85.89,89.61,"meanus",88.38
"grain","03-04","fah",88.72,91.2,89.04,91.44,88.53,91.06,"meanus",89.96
"oil","03-04","fah",36.58,37.95,36.19,37.49,36.82,38.24,"meanus",37.27
"fruit","05-06","fah",105.12,107.53,106.86,109.31,104.29,106.68,"meanus",106.32
"veg","05-06","fah",100.9106,105.1442,102.2532,106.1732,100.2834,104.6738,"meanus",103.0274
"dairy","05-06","fah",173.5,176.69,173.3,176.46,173.61,176.81,"meanus",175.1
"meat","05-06","fah",85.76,89.45,92.83,96.42,82.4,86.13,"meanus",87.61
"grain","05-06","fah",87.78,90.34,90.39,92.88,86.53,89.14,"meanus",89.06
"oil","05-06","fah",36.83,38.22,37,38.3,36.74,38.18,"meanus",37.53
"fruit","07-08","fah",102.23,104.57,102.48,104.83,102.06,104.4,"meanus",103.4
"veg","07-08","fah",100.7538,104.7718,97.755,101.479,102.7236,106.9376,"meanus",102.7628
"dairy","07-08","fah",170.14,173.98,165.98,169.7,172.86,176.76,"meanus",172.06
"meat","07-08","fah",87.31,90.89,87.39,90.81,87.27,90.94,"meanus",89.1
"grain","07-08","fah",92.89,95.36,94.17,96.59,92.07,94.58,"meanus",94.13
"oil","07-08","fah",38.64,40.02,38.52,39.83,38.71,40.15,"meanus",39.33
"fruit","94-98","fah",107.6,109.5,93.99,95.68,113.71,115.69,"meanlincome",94.83
"veg","94-98","fah",108.2811,111.4724,104.2362,107.1462,110.1047,113.4221,"meanlincome",105.6912
"dairy","94-98","fah",172.03,177.82,166.37,172.14,174.55,180.35,"meanlincome",169.26
"meat","94-98","fah",85.14,88.86,90.06,93.79,82.92,86.65,"meanlincome",91.93
"grain","94-98","fah",93.54,95.97,92.44,94.75,94.04,96.52,"meanlincome",93.59
"oil","94-98","fah",28.18,29.24,27.95,28.93,28.3,29.38,"meanlincome",28.44
"fruit","03-04","fah",107.92,110.68,109.73,112.56,106.81,109.54,"meanlincome",111.14
"veg","03-04","fah",103.6448,107.8098,101.8122,105.7322,104.7816,109.1034,"meanlincome",103.7722
"dairy","03-04","fah",174.79,178.11,172.69,175.97,176.1,179.45,"meanlincome",174.33
"meat","03-04","fah",86.59,90.18,87.73,91.12,85.89,89.61,"meanlincome",89.42
"grain","03-04","fah",88.72,91.2,89.04,91.44,88.53,91.06,"meanlincome",90.24
"oil","03-04","fah",36.58,37.95,36.19,37.49,36.82,38.24,"meanlincome",36.84
"fruit","05-06","fah",105.12,107.53,106.86,109.31,104.29,106.68,"meanlincome",108.09
"veg","05-06","fah",100.9106,105.1442,102.2532,106.1732,100.2834,104.6738,"meanlincome",104.2132
"dairy","05-06","fah",173.5,176.69,173.3,176.46,173.61,176.81,"meanlincome",174.88
"meat","05-06","fah",85.76,89.45,92.83,96.42,82.4,86.13,"meanlincome",94.62
"grain","05-06","fah",87.78,90.34,90.39,92.88,86.53,89.14,"meanlincome",91.63
"oil","05-06","fah",36.83,38.22,37,38.3,36.74,38.18,"meanlincome",37.65
"fruit","07-08","fah",102.23,104.57,102.48,104.83,102.06,104.4,"meanlincome",103.66
"veg","07-08","fah",100.7538,104.7718,97.755,101.479,102.7236,106.9376,"meanlincome",99.617
"dairy","07-08","fah",170.14,173.98,165.98,169.7,172.86,176.76,"meanlincome",167.84
"meat","07-08","fah",87.31,90.89,87.39,90.81,87.27,90.94,"meanlincome",89.1
"grain","07-08","fah",92.89,95.36,94.17,96.59,92.07,94.58,"meanlincome",95.38
"oil","07-08","fah",38.64,40.02,38.52,39.83,38.71,40.15,"meanlincome",39.17
"fruit","94-98","fah",107.6,109.5,93.99,95.68,113.71,115.69,"meanhincome",114.7
"veg","94-98","fah",108.2811,111.4724,104.2362,107.1462,110.1047,113.4221,"meanhincome",111.7634
"dairy","94-98","fah",172.03,177.82,166.37,172.14,174.55,180.35,"meanhincome",177.45
"meat","94-98","fah",85.14,88.86,90.06,93.79,82.92,86.65,"meanhincome",84.79
"grain","94-98","fah",93.54,95.97,92.44,94.75,94.04,96.52,"meanhincome",95.28
"oil","94-98","fah",28.18,29.24,27.95,28.93,28.3,29.38,"meanhincome",28.84
"fruit","03-04","fah",107.92,110.68,109.73,112.56,106.81,109.54,"meanhincome",108.17
"veg","03-04","fah",103.6448,107.8098,101.8122,105.7322,104.7816,109.1034,"meanhincome",106.9376
