"foodtype","years","foodhomeawayhome","meanus","lowus","upus","meanlincome","lowlincome","uplincome","meanhincome","lowhincome","uphincome"
"fruit","94-98","fah",108.55,107.6,109.5,94.83,93.99,95.68,114.7,113.71,115.69
"veg","94-98","fah",109.8719,108.2811,111.4724,105.6912,104.2362,107.1462,111.7634,110.1047,113.4221
"dairy","94-98","fah",174.92,172.03,177.82,169.26,166.37,172.14,177.45,174.55,180.35
"meat","94-98","fah",87,85.14,88.86,91.93,90.06,93.79,84.79,82.92,86.65
"grain","94-98","fah",94.76,93.54,95.97,93.59,92.44,94.75,95.28,94.04,96.52
"oil","94-98","fah",28.71,28.18,29.24,28.44,27.95,28.93,28.84,28.3,29.38
"fruit","94-98","afh",18.26,17.31,19.21,18.4,17.55,19.24,18.19,17.2,19.18
"veg","94-98","afh",62.1867,60.5862,63.7775,51.5167,50.0617,52.9717,66.9494,65.2907,68.6081
"dairy","94-98","afh",45.58,42.68,48.47,50.47,47.59,53.36,43.4,40.5,46.3
"meat","94-98","afh",52.96,51.1,54.82,48.01,46.15,49.88,55.17,53.31,57.04
"grain","94-98","afh",38.38,37.17,39.6,33.3,32.14,34.45,40.66,39.42,41.9
"oil","94-98","afh",18.67,18.14,19.2,15.81,15.32,16.3,19.95,19.41,20.49
"fruit","03-04","fah",109.3,107.92,110.68,111.14,109.73,112.56,108.17,106.81,109.54
"veg","03-04","fah",105.7224,103.6448,107.8098,103.7722,101.8122,105.7322,106.9376,104.7816,109.1034
"dairy","03-04","fah",176.45,174.79,178.11,174.33,172.69,175.97,177.77,176.1,179.45
"meat","03-04","fah",88.38,86.59,90.18,89.42,87.73,91.12,87.75,85.89,89.61
"grain","03-04","fah",89.96,88.72,91.2,90.24,89.04,91.44,89.8,88.53,91.06
"oil","03-04","fah",37.27,36.58,37.95,36.84,36.19,37.49,37.53,36.82,38.24
"fruit","03-04","afh",16.87,15.49,18.25,17.99,16.57,19.4,16.18,14.81,17.54
"veg","03-04","afh",68.6294,66.542,70.707,60.0054,58.0454,61.9654,73.9214,71.7556,76.0774
"dairy","03-04","afh",35.4,33.74,37.06,34.77,33.13,36.41,35.77,34.09,37.44
"meat","03-04","afh",59.27,57.47,61.06,49.87,48.17,51.56,65.04,63.18,66.9
"grain","03-04","afh",42.02,40.78,43.26,37.43,36.23,38.63,44.83,43.57,46.1
"oil","03-04","afh",25.97,25.29,26.66,22.92,22.27,23.57,27.86,27.15,28.57
"fruit","05-06","fah",106.32,105.12,107.53,108.09,106.86,109.31,105.49,104.29,106.68
"veg","05-06","fah",103.0274,100.9106,105.1442,104.2132,102.2532,106.1732,102.4786,100.2834,104.6738
"dairy","05-06","fah",175.1,173.5,176.69,174.88,173.3,176.46,175.21,173.61,176.81
"meat","05-06","fah",87.61,85.76,89.45,94.62,92.83,96.42,84.26,82.4,86.13
"grain","05-06","fah",89.06,87.78,90.34,91.63,90.39,92.88,87.83,86.53,89.14
"oil","05-06","fah",37.53,36.83,38.22,37.65,37,38.3,37.46,36.74,38.18
"fruit","05-06","afh",15.71,14.5,16.91,16.19,14.97,17.42,15.48,14.29,16.68
"veg","05-06","afh",64.3076,62.1908,66.4244,50.568,48.608,52.528,70.805,68.6098,73.0002
"dairy","05-06","afh",36.96,35.37,38.56,35.64,34.06,37.22,37.58,35.98,39.18
"meat","05-06","afh",60.3,58.46,62.15,49.69,47.89,51.48,65.35,63.48,67.21
"grain","05-06","afh",43.47,42.19,44.75,36.6,35.35,37.84,46.74,45.43,48.04
"oil","05-06","afh",25.88,25.19,26.58,21.05,20.4,21.7,28.18,27.46,28.9
"fruit","07-08","fah",103.4,102.23,104.57,103.66,102.48,104.83,103.23,102.06,104.4
"veg","07-08","fah",102.7628,100.7538,104.7718,99.617,97.755,101.479,104.8306,102.7236,106.9376
"dairy","07-08","fah",172.06,170.14,173.98,167.84,165.98,169.7,174.81,172.86,176.76
"meat","07-08","fah",89.1,87.31,90.89,89.1,87.39,90.81,89.11,87.27,90.94
"grain","07-08","fah",94.13,92.89,95.36,95.38,94.17,96.59,93.33,92.07,94.58
"oil","07-08","fah",39.33,38.64,40.02,39.17,38.52,39.83,39.43,38.71,40.15
"fruit","07-08","afh",15.97,14.8,17.14,15.69,14.52,16.87,16.15,14.98,17.32
"veg","07-08","afh",59.2018,57.1928,61.2108,50.3622,48.5002,52.2242,64.9838,62.8768,67.0908
"dairy","07-08","afh",39.29,37.37,41.21,37.49,35.63,39.35,40.47,38.52,42.42
"meat","07-08","afh",56.63,54.84,58.42,50.47,48.76,52.18,60.65,58.82,62.49
"grain","07-08","afh",41.17,39.94,42.41,36.8,35.59,38.01,44.02,42.77,45.28
"oil","07-08","afh",25.7,25.01,26.39,22.48,21.82,23.13,27.81,27.09,28.53
