"","simveg","year","incomelevel"
"1",132.568033838872,"94-98","mean"
"2",90.1784207404935,"94-98","mean"
"3",91.070413441229,"94-98","mean"
"4",141.349881938306,"94-98","mean"
"5",114.97824264765,"94-98","mean"
"6",107.964677474023,"94-98","mean"
"7",96.7161131719854,"94-98","mean"
"8",100.790033351702,"94-98","mean"
"9",122.06320348285,"94-98","mean"
"10",102.13301931067,"94-98","mean"
"11",93.7775980944803,"94-98","mean"
"12",146.594721428505,"94-98","mean"
"13",121.630171091656,"94-98","mean"
"14",111.71777276257,"94-98","mean"
"15",109.352077358448,"94-98","mean"
"16",102.448984538197,"94-98","mean"
"17",59.5785575829896,"94-98","mean"
"18",101.39815649059,"94-98","mean"
"19",72.2211339778109,"94-98","mean"
"20",131.067412858585,"94-98","mean"
"21",122.38675698964,"94-98","mean"
"22",131.300577284087,"94-98","mean"
"23",111.769376990863,"94-98","mean"
"24",145.357574576499,"94-98","mean"
"25",123.98980395092,"94-98","mean"
"26",97.741955613713,"94-98","mean"
"27",110.821346988026,"94-98","mean"
"28",105.936242392098,"94-98","mean"
"29",78.8575325525659,"94-98","mean"
"30",96.3064438557393,"94-98","mean"
"31",85.7795760249887,"94-98","mean"
"32",131.045503705415,"94-98","mean"
"33",113.281629803123,"94-98","mean"
"34",128.132773785595,"94-98","mean"
"35",129.801409964567,"94-98","mean"
"36",111.460901715669,"94-98","mean"
"37",126.235041059665,"94-98","mean"
"38",96.5092277966177,"94-98","mean"
"39",114.535059189666,"94-98","mean"
"40",115.930363368236,"94-98","mean"
"41",96.4174330741581,"94-98","mean"
"42",99.8710518949846,"94-98","mean"
"43",100.345867811107,"94-98","mean"
"44",114.545839160233,"94-98","mean"
"45",124.867094589436,"94-98","mean"
"46",109.89558462815,"94-98","mean"
"47",124.224730072774,"94-98","mean"
"48",102.057162306713,"94-98","mean"
"49",106.975538828934,"94-98","mean"
"50",129.514632973676,"94-98","mean"
"51",115.123606766693,"94-98","mean"
"52",96.8332359612166,"94-98","mean"
"53",108.175480541564,"94-98","mean"
"54",123.627723035388,"94-98","mean"
"55",117.680116785065,"94-98","mean"
"56",131.043727157778,"94-98","mean"
"57",131.198893296658,"94-98","mean"
"58",113.067243203136,"94-98","mean"
"59",117.382627373006,"94-98","mean"
"60",135.372459854673,"94-98","mean"
"61",101.52780342605,"94-98","mean"
"62",111.19076296261,"94-98","mean"
"63",124.654097892641,"94-98","mean"
"64",110.840918679916,"94-98","mean"
"65",92.7392652887078,"94-98","mean"
"66",79.7339385435373,"94-98","mean"
"67",112.517318133896,"94-98","mean"
"68",119.944962830396,"94-98","mean"
"69",124.689769283018,"94-98","mean"
"70",95.0881493461457,"94-98","mean"
"71",121.917561068941,"94-98","mean"
"72",95.5764116696304,"94-98","mean"
"73",103.489350497532,"94-98","mean"
"74",93.2324013933205,"94-98","mean"
"75",87.7076529115295,"94-98","mean"
"76",129.994342569633,"94-98","mean"
"77",105.602716694875,"94-98","mean"
"78",106.450499206132,"94-98","mean"
"79",125.709249091884,"94-98","mean"
"80",139.710252312777,"94-98","mean"
"81",131.04762101386,"94-98","mean"
"82",125.32316291884,"94-98","mean"
"83",119.077612845798,"94-98","mean"
"84",115.896078914047,"94-98","mean"
"85",65.6751007122924,"94-98","mean"
"86",105.585680212347,"94-98","mean"
"87",105.258615594373,"94-98","mean"
"88",128.132740914391,"94-98","mean"
"89",96.4810208905135,"94-98","mean"
"90",76.5073521772856,"94-98","mean"
"91",84.5619059241895,"94-98","mean"
"92",115.806901978839,"94-98","mean"
"93",140.853559690417,"94-98","mean"
"94",120.83157892495,"94-98","mean"
"95",134.052925524491,"94-98","mean"
"96",99.4996949507002,"94-98","mean"
"97",74.7382089535703,"94-98","mean"
"98",124.134967834492,"94-98","mean"
"99",127.018975309189,"94-98","mean"
"100",153.079725660064,"94-98","mean"
"101",92.2303151469151,"94-98","mean"
"102",118.034531277073,"94-98","mean"
"103",101.455095837176,"94-98","mean"
"104",105.195557606993,"94-98","mean"
"105",122.835803745706,"94-98","mean"
"106",113.976489837201,"94-98","mean"
"107",106.766604730356,"94-98","mean"
"108",87.3537722543313,"94-98","mean"
"109",122.649885255104,"94-98","mean"
"110",151.775224967447,"94-98","mean"
"111",116.792542173065,"94-98","mean"
"112",89.5931393606851,"94-98","mean"
"113",117.906898734674,"94-98","mean"
"114",112.57103041379,"94-98","mean"
"115",87.0334133715448,"94-98","mean"
"116",96.4135626759593,"94-98","mean"
"117",134.591450515934,"94-98","mean"
"118",118.068462579283,"94-98","mean"
"119",109.248620607616,"94-98","mean"
"120",123.54787540774,"94-98","mean"
"121",122.827959302437,"94-98","mean"
"122",107.288821386389,"94-98","mean"
"123",125.649351602987,"94-98","mean"
"124",122.107800157953,"94-98","mean"
"125",124.688479168979,"94-98","mean"
"126",78.683157791594,"94-98","mean"
"127",97.8183660748628,"94-98","mean"
"128",104.252484227969,"94-98","mean"
"129",113.951283591454,"94-98","mean"
"130",98.4226336840843,"94-98","mean"
"131",102.5463513157,"94-98","mean"
"132",99.0609216612545,"94-98","mean"
"133",96.6849561634892,"94-98","mean"
"134",96.5259098030204,"94-98","mean"
"135",114.793108648719,"94-98","mean"
"136",118.188768277897,"94-98","mean"
"137",127.782468057582,"94-98","mean"
"138",119.815269281944,"94-98","mean"
"139",114.54378396474,"94-98","mean"
"140",110.889587885253,"94-98","mean"
"141",136.190795905156,"94-98","mean"
"142",94.0107250467079,"94-98","mean"
"143",121.093714120735,"94-98","mean"
"144",94.3668539885315,"94-98","mean"
"145",98.5962688573839,"94-98","mean"
"146",119.281028274986,"94-98","mean"
"147",116.929963398894,"94-98","mean"
"148",84.1865609444577,"94-98","mean"
"149",141.311166841506,"94-98","mean"
"150",95.2487283553897,"94-98","mean"
"151",116.801208408642,"94-98","mean"
"152",116.341618815579,"94-98","mean"
"153",97.3215125273706,"94-98","mean"
"154",103.690594072093,"94-98","mean"
"155",138.625819536608,"94-98","mean"
"156",125.107252573351,"94-98","mean"
"157",99.8776917929542,"94-98","mean"
"158",93.9751326448595,"94-98","mean"
"159",103.209033574722,"94-98","mean"
"160",129.823626332374,"94-98","mean"
"161",96.9970376587769,"94-98","mean"
"162",71.2235262672324,"94-98","mean"
"163",98.6755021859373,"94-98","mean"
"164",119.264268364472,"94-98","mean"
"165",138.566515656312,"94-98","mean"
"166",92.9949984052931,"94-98","mean"
"167",97.8777666965292,"94-98","mean"
"168",111.420239764873,"94-98","mean"
"169",137.127647115823,"94-98","mean"
"170",93.4777738223109,"94-98","mean"
"171",99.9936577475556,"94-98","mean"
"172",95.4128749194085,"94-98","mean"
"173",93.4976622337865,"94-98","mean"
"174",114.796684929782,"94-98","mean"
"175",106.012510172466,"94-98","mean"
"176",82.5170766043319,"94-98","mean"
"177",121.295998059467,"94-98","mean"
"178",132.607982064754,"94-98","mean"
"179",111.349795284879,"94-98","mean"
"180",100.078970415704,"94-98","mean"
"181",98.7263812144188,"94-98","mean"
"182",104.938392923875,"94-98","mean"
"183",128.47811633952,"94-98","mean"
"184",124.874947415216,"94-98","mean"
"185",119.989868761283,"94-98","mean"
"186",113.864136436817,"94-98","mean"
"187",94.9542664608182,"94-98","mean"
"188",128.501916549453,"94-98","mean"
"189",123.028853671518,"94-98","mean"
"190",114.328301222143,"94-98","mean"
"191",92.7728787789278,"94-98","mean"
"192",108.351298776155,"94-98","mean"
"193",113.969209072915,"94-98","mean"
"194",75.9183496186636,"94-98","mean"
"195",129.636988550796,"94-98","mean"
"196",125.056761361805,"94-98","mean"
"197",98.9227350974155,"94-98","mean"
"198",99.5659079045901,"94-98","mean"
"199",118.430403149375,"94-98","mean"
"200",110.943997557298,"94-98","mean"
"201",127.224131700818,"94-98","mean"
"202",122.956473620026,"94-98","mean"
"203",144.542205636728,"94-98","mean"
"204",104.794698915052,"94-98","mean"
"205",72.9376165136753,"94-98","mean"
"206",137.540491040144,"94-98","mean"
"207",120.043174388354,"94-98","mean"
"208",117.176065382507,"94-98","mean"
"209",124.118817164216,"94-98","mean"
"210",131.389696637641,"94-98","mean"
"211",75.8499492590499,"94-98","mean"
"212",130.147118007282,"94-98","mean"
"213",93.1804809295374,"94-98","mean"
"214",96.7355081393581,"94-98","mean"
"215",119.552765066208,"94-98","mean"
"216",131.881590238692,"94-98","mean"
"217",94.4034286472889,"94-98","mean"
"218",108.105020757699,"94-98","mean"
"219",87.5997639036084,"94-98","mean"
"220",89.1388750205293,"94-98","mean"
"221",139.486892304438,"94-98","mean"
"222",108.87425374003,"94-98","mean"
"223",132.226397393986,"94-98","mean"
"224",98.7870148433105,"94-98","mean"
"225",96.3908916637529,"94-98","mean"
"226",102.374124962473,"94-98","mean"
"227",102.477409580343,"94-98","mean"
"228",99.7907446498941,"94-98","mean"
"229",99.833247035522,"94-98","mean"
